feature,shap_importance_mean_abs,shap_mean
promedio_historico_grid,0.08045400386122037,-0.05247141318000239
promedio_historico_trimestre_grid,0.06787964688567381,-0.04523462397222441
promedio_6_meses_franja,0.04735502907676475,-0.02752289769155988
promedio_historico_franja,0.045003367558595554,-0.03339567078713008
promedio_6_meses_grid,0.04412148594477282,-0.025115741781080374
promedio_historico_mes_calendario_grid,0.03744601239700228,-0.02582179519808458
promedio_3_meses_franja,0.030112033604247978,-0.0176021555495266
promedio_historico_trimestre_franja,0.023389382430339178,-0.02015702789065149
promedio_3_meses_grid,0.022834117870221955,-0.012531794599874694
delitos_historicos_grid,0.019750289775358115,-0.017119238672017454
delitos_historicos_franja,0.018596767827100288,-0.016524635349671298
dist_min_gastronomia_m,0.01754174429862837,-0.012874805687697652
dist_min_alojamientos_m,0.013697669406412207,-0.011061378637382293
dist_min_colectivos_m,0.013561995946577598,-0.010881463081797674
dist_min_cajeros_m,0.01321847920753265,-0.011207186684821221
promedio_historico_mes_calendario_franja,0.012431000653630167,-0.011151115911641378
dist_min_estaciones_tren_m,0.01212781019490482,-0.010591594797001662
dist_min_comisarias_m,0.012112241486823095,-0.01101892920796511
delitos_mes_anterior_franja,0.011408913161314293,-0.007223352256431712
mes_num,0.011401371318081267,-0.007425143276484693
cant_alojamientos,0.009555595916120777,-0.006746466133188656
cant_colectivos,0.009249738969378491,-0.005894627049138788
delitos_mes_anterior_grid,0.008444453539580178,-0.005404639822105901
anio,0.007983540992365501,-0.004528681205230275
trimestre,0.005163233276583246,-0.002946034232285113
cant_gastronomia,0.0047702964755315545,-0.0032402481982958236
hotspot_mes_anterior_franja,0.0034294975583568704,-0.0017113116992410597
cant_cajeros,0.002983479804706042,-0.0023742005930046015
hotspot_mes_anterior_grid,0.0020734725347766863,-0.0012361511426452712
semestre,0.0016334332822269086,-0.000992265879710549
area_interseccion_caba_m2,0.0007127015880388744,-0.00029615400139725923
porcentaje_en_caba,0.0006095021510619594,-0.0002885464953853796
cant_comisarias,0.00040780490403311795,-0.00031647743272597963
cant_estaciones_tren,0.00023583028825022704,-0.00010167294047841057
area_celda_m2,0.0,0.0
